feature,passed_distribution,failed_distribution,safe_rejection_count,unsafe_rejection_count,candidate_rule
q_value_mod_30,"{""count"": 364, ""missing"": 0, ""min"": 1.0, ""median"": 17.0, ""max"": 29.0}","{""count"": 404, ""missing"": 0, ""min"": 1.0, ""median"": 17.0, ""max"": 29.0}",0,0,reject if q is not wheel-open relative to p
right_chamber_first_unclosed_offset,"{""count"": 364, ""missing"": 0, ""min"": 6.0, ""median"": 30.0, ""max"": 116.0}","{""count"": 404, ""missing"": 0, ""min"": 6.0, ""median"": 30.0, ""max"": 120.0}",123,102,reject if q has an unresolved right-neighborhood competitor within 6
right_chamber_first_unclosed_offset,"{""count"": 364, ""missing"": 0, ""min"": 6.0, ""median"": 30.0, ""max"": 116.0}","{""count"": 404, ""missing"": 0, ""min"": 6.0, ""median"": 30.0, ""max"": 120.0}",206,189,reject if q has an unresolved right-neighborhood competitor within 12
right_chamber_first_unclosed_offset,"{""count"": 364, ""missing"": 0, ""min"": 6.0, ""median"": 30.0, ""max"": 116.0}","{""count"": 404, ""missing"": 0, ""min"": 6.0, ""median"": 30.0, ""max"": 120.0}",279,240,reject if q has an unresolved right-neighborhood competitor within 18
right_chamber_first_unclosed_offset,"{""count"": 364, ""missing"": 0, ""min"": 6.0, ""median"": 30.0, ""max"": 116.0}","{""count"": 404, ""missing"": 0, ""min"": 6.0, ""median"": 30.0, ""max"": 120.0}",355,308,reject if q has an unresolved right-neighborhood competitor within 30
carrier_to_q_delta,"{""count"": 364, ""missing"": 0, ""min"": 2.0, ""median"": 12.0, ""max"": 90.0}","{""count"": 404, ""missing"": 0, ""min"": 2.0, ""median"": 12.0, ""max"": 80.0}",7,0,reject if carrier_to_q_delta was not seen among passing rows
right_chamber_first_unclosed_delta,"{""count"": 364, ""missing"": 0, ""min"": 2.0, ""median"": 12.0, ""max"": 80.0}","{""count"": 404, ""missing"": 0, ""min"": 2.0, ""median"": 12.0, ""max"": 86.0}",0,0,reject if there is no visible right-side unresolved boundary candidate
q_value_mod_30,"{""count"": 364, ""missing"": 0, ""min"": 1.0, ""median"": 17.0, ""max"": 29.0}","{""count"": 404, ""missing"": 0, ""min"": 1.0, ""median"": 17.0, ""max"": 29.0}",57,51,reject if q_value_mod_30 == 19
q_value_mod_30,"{""count"": 364, ""missing"": 0, ""min"": 1.0, ""median"": 17.0, ""max"": 29.0}","{""count"": 404, ""missing"": 0, ""min"": 1.0, ""median"": 17.0, ""max"": 29.0}",55,51,reject if q_value_mod_30 == 29
q_value_mod_30,"{""count"": 364, ""missing"": 0, ""min"": 1.0, ""median"": 17.0, ""max"": 29.0}","{""count"": 404, ""missing"": 0, ""min"": 1.0, ""median"": 17.0, ""max"": 29.0}",54,48,reject if q_value_mod_30 == 1
